When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,Yes,Industry,,biochemistry,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,I already know a bit of programming..I know C/C++ I hope to learn how to use programming languages to analyze screening data or sequencing data,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Applications,Other (please specify),Biotechnology,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,"The basic structure and ""grammar"" of Python and its potential applications.",Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Molecular Biology,"Life science (biology, genetics)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB",I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,How I can use programs like Python to help analyze data in a more highthroughput manner.,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Molecular and Microbial Biology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,Tools to get started with programming for data analysis,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Molecular and Microbiology (MMB),"Life science (biology, genetics)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I hope to be able to analyze and organize my data more efficiently, and I hope to get a better grasp of Python.  Ultimately I would like to be able to confidently alter the script of the GUI that I've inherited from a former employee.  (I use this GUI almost on a weekly basis). I only know basics, am still learning, and am no where near building my own programs yet.",Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Librarian,Library IT,"Tech support, lab tech, or support programmer",,Apple OS,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL",I do not have data yet.,Very unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,n/a,Economics,,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python",I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,A better understanding of SQL -- haven't really worked with database software outside of R or Python before,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Library,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Unsatisfied,Agree,Agree,Neutral,Disagree,,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,University Libraries,Other (please specify),Library,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Unsatisfied,Strongly agree,Agree,Agree,Disagree,,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Library,Other (please specify),Geospatial data curation,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Agree,Neutral,Agree,Have a better understanding of what these programs do and how to use them so I can help other researchers who are using the software,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Libraries,Other (please specify),Library and Info Science,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Unsatisfied,Agree,Agree,Agree,Agree,Best practics and resources on data management we as librarians can provide to our undergraduates and gradudates,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Library & Information Services,Other (please specify),Library and Info Science,Apple OS,No,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Very unsatisfied,Agree,Agree,Agree,Agree,"I am hoping to gain more confidence in telling my research story in a better, more visually appealing way.  ",Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Library,"Tech support, lab tech, or support programmer",,Apple OS,No,,,,,,,,,,,,
I am taking this survey before coming to the workshop,No,Faculty,,Library,Other (please specify),library science,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Strongly agree,Agree,Neutral,Agree,"I'm a little familiar with R (took a workshop before), but haven't had a chance to use it with my data and don't feel comfortable using it. ",Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,"University library, Information Services Department",Other (please specify),Social Science,Windows,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Neutral,Neutral,Neutral,I hope to have an understanding of what I can use R/Python for. I hope to have a basic working knowledge of SQL.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Pharmacology,"Life science (biology, genetics)",,Linux,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Neutral,Neutral,Neutral,Scripting for data analysis,No
I am taking this survey before coming to the workshop,Yes,Industry,,Molecular Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Agree,Agree,Agree,Agree,Better understanding of how to use python and hopefully learning how to code better in python,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,,Other (please specify),Information Science,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very satisfied,Unsatisfied,Strongly agree,Strongly agree,Neutral,Strongly agree,How to use OpenRefine and R,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Micro Molecular Bio,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Agree,Basic Python,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Endocrinology,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Industry,,Process Development: Fermentation,"Engineering (civil, mechanical, chemical)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, and I've already done a fair bit of analysis.",Neutral,Satisfied,Strongly agree,Agree,Neutral,Neutral,Get introduced to Python scripts and learn how to apply for my data analysis. ,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,,Brain and neurosciencse,,Apple OS,No,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Ecology ,"Life science (ecology, zoology, botany)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,R",I am working on generating data.,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,"Techniques for data organisation , exploratory statistical techniques and some statistical analyses such as GLMs and/or other model-based methods.",No
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Life science (ecology, zoology, botany)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Neutral,Neutral,Agree,Agree,Neutral,Neutral,I would like to learn the fundamental aspects for using R-statistical analysis program effectively and efficiently.,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,cbee,"Engineering (civil, mechanical, chemical)",,Apple OS,Yes,Less than once a year,,MATLAB,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Industry,,,Computer science and electrical engineering,,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R,Python","Yes, and I've already done a fair bit of analysis.",Very satisfied,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good basic tools and procedures to use and communicate to others.,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Distance Education,Humanities,,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Some practical strategies for managing and analyzing data that I can immediately apply to my research work.,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),courtesy faculty,Botany and Plant Pathology,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"know which is appropriate tool can be used for data analysis, and how it works. basic understanding of listed scripting language.",Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Botany and Plant Pathology,"Life science (biology, genetics)",,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Geography/Design,Other (please specify),Environmental Psychology,Apple OS,Yes,Monthly,,"FileMaker Pro or Microsoft Access,SQL,Python","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Scope of possibilities,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Biomedical Sciences,Other (please specify),Veterinary Medicine,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Very unsatisfied,Strongly agree,Agree,Agree,Neutral,How to organize data better from the get go.  Tools to transform data from one format to another.  Visualization tools for large data sets.,Yes
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,,"Earth sciences (geology, oceanography, meterorology)",,Apple OS,No,Less than once a year,,R,I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Agree,Learning R and SQL,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,"School of Writing, Literature and Film",Humanities,,Windows,No,Weekly,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Learning how to manage my data, which is significantly different from most scientific data. It's ""messy,"" but the messiness doesn't come from instrument error - it comes from the inherent disorganization of human designed systems. Eg, I have names for birthplaces of many poets, but these historical locations may be non-existent today, and Google/Bing/georeferencing services may also not pick them up because they're somewhat vague pr obscure. How do you manage ""fuzzy"" data like this, or data with ranges of accuracy (circa date ranges)?",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,EECS,Computer science and electrical engineering,,Apple OS,No,Weekly,,"Python,MATLAB","Yes, and I've already done a fair bit of analysis.",Satisfied,Unsatisfied,Agree,Strongly agree,Agree,Agree,SQL & R for data analysis,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Public Policy ,Economics,,Windows,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Faculty Research Assistant,Environmental and Molecular Toxicology,Other (please specify),Toxicology,Apple OS,No,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Recall commands for SQL format ,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Faculty,,Research Institute for the Environment and Livelihoods,"Life science (ecology, zoology, botany)",,Windows,Not sure,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access",I am working on generating data.,Satisfied,Not sure,Strongly agree,Strongly agree,Agree,Neutral,Basics of managing data in R,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chronic Diseases,Public health,,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Learn what is possible with data visualisation and ways of presenting data,No
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Environmental Science,Other (please specify),Environmental Science,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Neutral,how to organise and perform statistical analysis on data using R,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Infectious diseases,"Life science (biology, genetics)",,Windows,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,R","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Agree,Agree,Agree,"Some basic tools for organising, managing and manipulating large amounts of data.",No
I am taking this survey before coming to the workshop,No,Graduate Student,,Global Health,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Neutral,Satisfied,Agree,,Strongly agree,Disagree,to learn ggplot2!,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Environment,"Life science (ecology, zoology, botany)",,Windows,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Tips and tricks for data management and analysis using R,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Child Health,Other (please specify),Molecular Microbiology,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Applied R programming - analysis of genomic data, visualisation of analysis, potential NGS data management strategies.",No
I am taking this survey before coming to the workshop,Yes,Staff,,"Microbiology, Molecular Biology, Data management, Child Health Division","Life science (biology, genetics)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Neutral,Strongly agree,Strongly agree,Agree,Agree,Better understanding of R and the language used for it. Strengthen analysis skills.,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Global and Tropical Health; Child Health,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Agree,"What options are available for data management and sharing, how these tools can be used, and hopefully to encourage others in my team to look beyond Microsoft products for data management.",No
I am taking this survey before coming to the workshop,Yes,Other (please specify),random,random,Public health,,,,,,,,,,,,,,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Other (please specify),Government,Bacterial Epidemiology and Antimicrobial Resistance Research Unit,"Tech support, lab tech, or support programmer",,Windows,,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Not sure,Not sure,Strongly agree,Strongly agree,Neutral,Neutral,I would like to learn the best data-manipulation tools.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,micro and molecular,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Strongly agree,Strongly agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Research Geneticist USDA-ARS,Subtropical Horticulture Research Station,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,I would like to learn how to write programs with R to speed up my data processing,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Ph.D. Microbiologist,Poultry Microbiological Safety and Processing Research Unit,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Agree,Agree,Neutral,Neutral,"How to manage large data sets without compromising the integrity of the data.  Additionally, information on planning and designing experiments to maximize the data collected.",Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Government Researcher,Crop Genetics and Breeding,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Satisfied,Agree,Agree,Neutral,Agree,How can I use these tools to do more powerful analyses or different kinds of analyses than I am currently using?,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),USDA,Research Biochemistry/Molecular Biology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Agree,Agree,Neutral,Agree,To manage data efficiently so access can be quick.,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Research Scientist,"Mol. biol, plant gentics, mycology","Life science (biology, genetics)",,Windows,Yes,I have never programmed,,,,Satisfied,Satisfied,Agree,,,,Expect to have a tool that overcomes the size limitations of Excel,Yes
I am taking this survey before coming to the workshop,Yes,Industry,,Optical Imaging,Computer science and electrical engineering,,Windows,Not sure,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R,MATLAB","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Other (please specify),Research Assistant,research,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Agree,Agree,Agree,Agree,basic shell commands and having a person teach me properly.  learn how to maximize the potential of vcf files.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Southeast Watershed Research Laboratory,"Tech support, lab tech, or support programmer",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, and I've already done a fair bit of analysis.",Very satisfied,Very satisfied,Strongly agree,Neutral,Neutral,Neutral,Introduction to R.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Data management,Other (please specify),Data Management,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics,"Life science (biology, genetics)",,Apple OS,Yes,Daily,,R,"Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Building pipelines that I can use in the future.,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Post-doc,,Jackson Laboratory Research,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Strongly agree,Agree,Agree,I have never coded before and I think it would be very useful for my data analysis.  I am hoping to get the basics in this course.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Neuroscience,Brain and neurosciencse,,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,I would like to at least understand the analysis that computational scientists are applying to help me work with my data.,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Computational Services,"Tech support, lab tech, or support programmer",,Apple OS,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python",I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Strongly agree,Disagree,General familiarity with tools for genomic data processing,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Post-doc,,Reproductive genomics,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,,R,"Yes, I have data but I haven't started analyzing it yet.",Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,No,Graduate Student,,Epigenetics,"Life science (biology, genetics)",,Windows,Yes,Several times a year,,R,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Neutral,Disagree,NGS workflows,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Post-doc,,,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Satisfied,Satisfied,Agree,Agree,Agree,Neutral,how to analyze genomic data,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Genomic Education,"Life science (biology, genetics)",,Windows,No,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, I have data but I haven't started analyzing it yet.",Satisfied,Satisfied,Strongly agree,Neutral,Neutral,Neutral,Window into tools available beyond tools I have already used,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Graduate Student,,,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Data analysis,Yes
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Environmental Engineering,"Engineering (civil, mechanical, chemical)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Neutral,Agree,Agree,Agree,Agree,the basics. ,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Genetic Resource Sciences,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Neutral,Agree,"I am entering graduate school this coming fall and expect to be analyzing RNA seq and WGS data and want to have a head start; I have grappled with sequencing analysis being a part of the MMR here at jax, but anaylzed data using an established workflow, I hope to be able to generate workflows on my own and adapt to changing data",Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Lead Scientist/Microbiologist,Poultry Microbiological Safety and Processing Research Unit.  Molecular Genetics/infectious Disease ,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Other (please specify),Research Scientist,Bacterial Epidemiology and Antimicrobial Resistance,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Unsatisfied,Agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,IT,"Tech support, lab tech, or support programmer",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Better understanding of analysis workflows on the systems I build.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Genetics Resource Science,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,I want to learn how to manage data.,Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Staff,,Genetic Resource Science,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Very unsatisfied,Very unsatisfied,Agree,Agree,Agree,Neutral,A basic understanding of what r and other programming scripts can do and some beginner use of them.,Yes
I am taking this survey before coming to the workshop,No,Staff,,Genetic Resource Science,"Life science (biology, genetics)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Strongly agree,I'd like to learn now to analyze my exome sequencing data.,Yes
I am taking this survey before coming to the workshop,No,Other (please specify),Research Assistant,Cellular and molecular biology and genomics,"Life science (biology, genetics)",,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Better practice/etiquette when organizing and working with data with many scripts and intermediate outputs. Also making workflow more streamlined, and where to go for references.",Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Biochemistry,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Agree,,I think it's important to understand how large data sets are analyzed in order to know how best to take advantage of the wealth of data they have to offer.,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,, biomedical engineeri g,"Engineering (civil, mechanical, chemical)",,Windows,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,data analysis,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics and Genomics ,"Life science (biology, genetics)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Unsatisfied,Neutral,Agree,Neutral,Neutral,"Basic knowledge of how to manipulate and analyze large data sets, and introduction to R and possibly coding",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Molecular and Cell Biology Department,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Agree,Neutral,Neutral,To clearly understand that how I can interpret my data,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
